5,9,11,336,26,330,448,69,379,137,16,268,123,62,390,167,41,470,199,91,128
12,9,11,170,81,344,567,87,700,246,21,380,260,88,369,129,28,369,367,65,357
19,9,11,350,81,100,590,46,123,169,62,129,670,35,159,449,78,260,168,59,135
26,9,11,478,97,179,456,51,137,147,24,248,356,42,679,288,80,127,179,78,134
3,10,11,247,39,270,459,85,500,457,69,234,404,404,404,880,69,478,127,4,446
10,10,11,377,72,679,340,78,224,459,81,335,899,60,370,114,62,129,169,65,799
17,10,11,480,20,136,300,36,259,136,1,146,458,74,149,224,88,459,557,73,238
31,10,11,144,98,468,467,77,160,346,37,557,599,30,550,670,39,225,355,37,467
7,11,11,404,404,404,280,1,560,114,66,259,140,59,478,550,3,580,688,27,368
14,11,11,460,8,369,688,27,566,400,41,119,378,81,588,220,40,127,368,76,259
21,11,11,459,85,889,269,75,249,126,99,667,780,57,250,290,17,278,257,44,130
28,11,11,249,50,127,560,13,256,779,35,159,150,69,135,579,19,469,457,61,146
5,12,11,599,31,579,269,78,558,236,12,589,579,17,269,700,71,137,480,21,290
12,12,11,557,70,334,378,82,237,339,50,136,378,87,566,277,64,112,569,3,689
19,12,11,800,88,459,458,79,379,158,44,455,245,11,236,477,81,399,277,64,356
26,12,11,256,31,146,468,80,389,690,54,400,140,57,359,150,69,568,166,33,788
2,1,12,670,36,790,128,17,250,289,93,247,134,82,589,135,95,159,157,33,148
9,1,12,226,7,556,458,79,360,249,59,135,888,41,380,249,53,445,404,404,404
16,1,12,346,39,568,244,9,478,226,1,155,569,9,388,233,89,270,289,97,223
23,1,12,788,36,259,135,91,290,450,96,169,404,404,404,129,25,159,489,13,166
30,1,12,289,94,266,170,89,289,130,49,126,245,14,239,246,20,334,145,9,469
6,2,12,150,66,268,359,72,345,679,20,370,113,52,255,578,6,790,248,42,129
13,2,12,245,15,140,680,49,234,440,82,246,699,47,890,359,76,457,167,43,157
20,2,12,566,74,789,259,66,114,288,83,256,779,32,255,468,84,130,229,30,370
27,2,12,556,67,377,400,42,138,388,90,145,125,84,590,110,26,178,457,62,390
5,3,12,126,96,330,247,37,458,477,85,140,404,404,404,179,72,255,378,83,157
12,3,12,127,2,138,257,44,158,127,5,230,126,95,267,467,70,145,459,87,160
19,3,12,134,87,179,145,1,399,699,17,700,368,72,129,590,49,199,589,29,568
26,3,12,350,81,579,668,4,446,300,34,220,359,78,440,336,27,133,367,61,470
2,4,12,230,54,770,127,3,229,357,57,890,667,97,467,470,18,468,248,41,155
9,4,12,369,81,137,260,80,127,559,96,457,334,4,699,266,42,147,677,7,377
16,4,12,190,6,268,468,87,278,459,84,347,139,33,148,155,12,129,589,24,257
23,4,12,468,83,599,600,63,157,457,66,358,378,84,112,445,31,137,170,81,335
30,4,12,367,63,139,145,0,226,490,31,290,127,4,248,179,70,136,567,88,378
7,5,12,122,53,445,570,21,380,466,66,114,115,78,800,600,66,790,780,56,466
14,5,12,336,21,399,335,18,116,690,50,235,390,20,235,499,23,670,349,67,269
21,5,12,137,17,890,126,98,567,670,36,358,160,77,368,158,47,566,360,93,580
28,5,12,578,0,145,270,97,340,249,56,358,146,15,348,190,5,267,348,56,240
4,6,12,690,53,490,489,10,244,889,53,788,228,29,234,237,21,777,990,86,466
11,6,12,270,94,149,149,42,570,258,52,110,178,65,159,360,98,288,266,40,677
18,6,12,440,80,226,247,33,166,780,59,577,238,38,233,379,91,137,239,48,224
25,6,12,239,46,899,250,72,138,110,29,559,459,83,157,677,5,889,467,71,560
2,7,12,458,71,560,890,79,577,560,15,140,124,75,258,169,66,259,270,91,399
9,7,12,670,33,689,789,48,170,228,26,367,135,95,168,370,2,147,467,75,258
16,7,12,133,70,226,790,61,290,349,66,150,800,89,180,244,2,570,288,82,570
23,7,12,290,17,160,149,46,277,469,98,134,267,56,349,590,48,468,147,23,300
30,7,12,369,82,255,448,65,140,779,31,290,404,404,404,356,43,157,149,42,480
6,8,12,155,11,380,358,60,479,140,56,240,135,95,447,169,63,166,279,82,129
13,8,12,178,67,467,168,55,690,404,404,404,147,26,240,339,50,460,390,29,225
20,8,12,404,404,404,404,404,404,579,14,239,127,1,579,127,9,289,167,43,580
27,8,12,238,38,459,170,80,145,300,35,357,779,36,277,449,71,669,223,75,267
