30,11,20,114,64,149,179,72,570,567,80,280,190,7,377,250,79,578,224,80,235,130,40,479
7,12,20,110,22,589,350,81,146,590,46,114,123,63,247,123,69,270,880,66,600,247,39,126
14,12,20,245,16,169,789,43,490,589,27,458,380,17,160,678,15,348,118,5,780,250,79,469
21,12,20,790,60,145,370,8,350,570,28,468,129,29,450,117,93,788,340,77,179,350,82,570
28,12,20,159,58,116,180,91,245,455,46,358,150,64,400,114,61,128,467,71,560,140,53,300
4,1,21,189,88,170,345,26,268,110,24,130,268,65,690,670,34,590,466,68,170,390,24,680
11,1,21,570,29,568,340,77,124,129,22,345,112,49,450,127,8,279,340,76,169,160,78,350
18,1,21,170,85,249,468,88,440,244,1,560,469,96,150,490,35,159,689,33,490,119,17,179
25,1,21,190,8,189,700,72,129,300,36,240,370,2,570,340,72,390,266,41,470,128,17,160
1,2,21,358,69,450,245,18,233,190,2,228,350,83,670,258,57,160,130,45,230,557,76,457
8,2,21,578,1,560,780,55,140,240,64,680,180,90,550,489,10,235,246,26,240,670,38,440
15,2,21,137,19,126,468,80,235,139,32,336,224,86,600,377,70,127,678,12,390,338,47,179
22,2,21,478,98,369,560,17,359,190,5,122,230,51,146,489,15,348,130,40,127,124,78,260
1,3,21,458,78,459,700,70,370,489,12,129,188,72,570,134,81,128,377,73,490,299,5,122
8,3,21,236,16,790,112,48,350,125,89,270,470,19,144,378,85,113,266,47,133,670,33,580
15,3,21,189,82,246,678,17,890,356,49,388,169,63,788,450,99,478,480,27,377,267,50,370
22,3,21,368,76,457,450,93,670,250,73,166,258,57,890,168,59,478,229,35,122,570,23,166
29,3,21,404,404,404,290,10,145,480,28,170,279,85,456,388,96,899,147,29,144,159,59,135
5,4,21,669,10,280,449,76,349,679,26,240,560,17,890,120,31,137,266,40,334,180,92,156
12,4,21,336,21,380,590,40,235,124,74,590,566,71,137,299,9,234,460,9,135,567,81,678
19,4,21,224,85,159,127,6,123,149,44,257,468,86,790,126,95,159,379,94,158,299,0,668
26,4,21,789,44,266,225,96,114,190,4,130,689,37,188,227,11,489,178,63,238,148,32,129
3,5,21,570,22,679,399,14,446,279,83,346,688,27,467,460,9,568,145,6,457,566,71,227
10,5,21,139,39,135,349,61,579,479,4,257,270,92,345,678,11,146,579,15,690,124,77,223
17,5,21,348,59,450,447,58,134,567,80,389,370,5,339,344,11,399,169,65,168,357,56,880
24,5,21,345,22,589,135,90,578,680,42,589,338,41,669,580,32,336,679,28,224,124,70,578
31,5,21,289,91,489,336,24,770,249,50,578,166,34,356,358,62,570,680,40,280,360,98,468
7,6,21,123,60,226,135,91,399,380,12,778,346,34,446,156,26,240,489,15,159,157,37,124
14,6,21,260,80,145,440,82,138,126,92,138,157,34,338,370,2,570,226,3,238,678,16,349
21,6,21,677,3,670,347,49,577,360,90,280,490,36,358,679,20,460,260,80,127,122,55,249
28,6,21,890,71,335,137,11,678,130,48,369,127,5,122,780,51,588,345,22,129,140,57,377
5,7,21,247,31,380,157,38,558,790,69,144,167,49,126,339,51,119,367,64,130,230,53,148
12,7,21,289,91,146,358,67,278,670,34,400,240,67,115,278,71,146,239,44,347,159,59,126
19,7,21,260,87,890,490,38,369,469,98,189,268,66,123,180,99,199,145,6,790,469,95,168
26,7,21,158,45,230,588,15,348,457,66,790,577,97,449,488,1,588,459,80,136,126,91,678
2,8,21,199,95,357,499,20,569,890,77,278,448,65,159,147,25,140,229,39,478,388,95,230
9,8,21,138,24,680,460,1,588,679,22,480,136,6,268,129,22,345,128,15,230,404,404,404
16,8,21,800,80,370,577,99,388,458,72,480,457,60,479,389,1,399,360,91,236,678,12,589
23,8,21,230,52,570,688,27,133,470,13,166,447,53,599,237,21,380,368,76,358,389,9,144
30,8,21,168,56,349,780,53,157,223,79,180,990,87,269,125,85,348,123,69,126,130,48,440
6,9,21,677,0,145,359,73,670,245,13,300,227,12,679,379,99,199,129,22,660,177,56,457
13,9,21,355,35,339,567,89,379,249,57,458,790,63,689,144,98,459,568,95,357,250,75,177
20,9,21,146,14,149,469,93,238,159,55,780,677,7,458,460,1,245,169,67,223,240,60,244
27,9,21,235,0,370,149,48,350,277,63,670,450,96,268,113,59,360,560,18,890,447,59,577
4,10,21,369,89,234,137,16,123,136,8,567,890,73,157,488,1,399,459,81,489,238,39,135
11,10,21,120,30,569,578,4,789,146,16,123,790,64,789,357,51,137,390,20,127,570,28,459
18,10,21,126,97,557,180,97,467,120,31,344,140,59,568,156,28,567,449,70,569,190,7,160
25,10,21,800,84,789,123,69,478,245,15,780,270,99,568,456,53,256,457,69,450,560,11,588
1,11,21,359,76,790,360,97,179,789,48,125,250,79,478,469,93,229,200,28,350,129,22,345
8,11,21,269,73,580,679,26,123,126,98,125,140,52,156,589,24,158,248,46,123,240,67,359
15,11,21,467,71,335,356,45,159,146,16,178,110,29,180,579,16,349,330,64,266,235,1,489
22,11,21,678,14,590,257,43,445,450,95,140,357,58,125,238,35,780,600,61,290,134,85,456
29,11,21,239,42,336,680,40,127,467,71,137,680,42,147,288,89,135,123,65,140,345,20,136
6,12,21,290,16,178,127,9,234,238,35,177,335,12,138,359,79,568,114,65,140,460,3,148
13,12,21,124,77,160,225,99,135,190,6,448,277,67,458,280,7,133,240,67,359,145,1,128
20,12,21,668,4,158,245,18,567,130,43,229,179,79,234,135,96,790,357,54,680,238,33,120
27,12,21,360,90,226,248,41,560,678,19,270,345,29,135,677,1,236,790,61,489,356,46,150
3,1,22,359,73,229,133,79,144,122,51,128,380,17,124,677,3,157,134,84,257,368,71,380
10,1,22,468,83,670,237,23,120,789,42,246,170,85,159,800,88,440,460,3,238,789,40,370
17,1,22,140,51,245,250,73,689,224,81,137,780,52,589,566,77,368,289,96,556,589,26,150
